group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zero Area Checks,any_shape_zero_area,,,,74854375.0,ns,2291
Zero Area Checks,any_shape_zero_area,,,,74627834.0,ns,2320
Zero Area Checks,any_shape_zero_area,,,,76068167.0,ns,2349
Zero Area Checks,any_shape_zero_area,,,,75693125.0,ns,2378
Zero Area Checks,any_shape_zero_area,,,,75947333.0,ns,2407
Zero Area Checks,any_shape_zero_area,,,,76910000.0,ns,2436
Zero Area Checks,any_shape_zero_area,,,,78020375.0,ns,2465
Zero Area Checks,any_shape_zero_area,,,,78908792.0,ns,2494
Zero Area Checks,any_shape_zero_area,,,,79703875.0,ns,2523
Zero Area Checks,any_shape_zero_area,,,,80548958.0,ns,2552
Zero Area Checks,any_shape_zero_area,,,,85304958.0,ns,2581
Zero Area Checks,any_shape_zero_area,,,,83537625.0,ns,2610
Zero Area Checks,any_shape_zero_area,,,,83321208.0,ns,2639
Zero Area Checks,any_shape_zero_area,,,,84485000.0,ns,2668
Zero Area Checks,any_shape_zero_area,,,,86217250.0,ns,2697
Zero Area Checks,any_shape_zero_area,,,,87312542.0,ns,2726
Zero Area Checks,any_shape_zero_area,,,,87264750.0,ns,2755
Zero Area Checks,any_shape_zero_area,,,,89348333.0,ns,2784
Zero Area Checks,any_shape_zero_area,,,,90320583.0,ns,2813
Zero Area Checks,any_shape_zero_area,,,,89875500.0,ns,2842
Zero Area Checks,any_shape_zero_area,,,,91220875.0,ns,2871
Zero Area Checks,any_shape_zero_area,,,,92883000.0,ns,2900
